,songs,artists
0,Anti-Hero,Taylor Swift
1,Rich Flex,Drake & 21 Savage
2,Unholy,Sam Smith & Kim Petras
3,Bad Habit,Steve Lacy
4,As It Was,Harry Styles
5,Major Distribution,Drake & 21 Savage
6,I'm Good (Blue),David Guetta & Bebe Rexha
7,Lift Me Up,Rihanna
8,Spin Bout U,Drake & 21 Savage
9,On BS,Drake & 21 Savage
10,Super Freaky Girl,Nicki Minaj
11,Die For You,The Weeknd
12,You Proof,Morgan Wallen
13,Circo Loco,Drake & 21 Savage
14,Pussy & Millions,Drake & 21 Savage Featuring Travis Scott
15,I Like You (A Happier Song),Post Malone Featuring Doja Cat
16,Under The Influence,Chris Brown
17,Vegas,Doja Cat
18,Something In The Orange,Zach Bryan
19,Cuff It,Beyonce
20,Lavender Haze,Taylor Swift
21,Privileged Rappers,Drake & 21 Savage
22,Wasted On You,Morgan Wallen
23,I Ain't Worried,OneRepublic
24,All I Want For Christmas Is You,Mariah Carey
25,BackOutsideBoyz,Drake
26,Jimmy Cooks,Drake Featuring 21 Savage
27,Sunroof,Nicky Youre & dazy
28,Tomorrow 2,GloRilla & Cardi B
29,Wait For U,Future Featuring Drake & Tems
30,She Had Me At Heads Carolina,Cole Swindell
31,Titi Me Pregunto,Bad Bunny
32,Midnight Rain,Taylor Swift
33,Broke Boys,Drake & 21 Savage
34,Bejeweled,Taylor Swift
35,The Kind Of Love We Make,Luke Combs
36,Hours In Silence,Drake & 21 Savage
37,About Damn Time,Lizzo
38,Maroon,Taylor Swift
39,Made You Look,Meghan Trainor
40,Rockin' Around The Christmas Tree,Brenda Lee
41,Golden Hour,JVKE
42,Thank God,Kane Brown With Katelyn Brown
43,Unstoppable,Sia
44,Karma,Taylor Swift
45,Hold Me Closer,Elton John & Britney Spears
46,Just Wanna Rock,Lil Uzi Vert
47,"You're On Your Own, Kid",Taylor Swift
48,Snow On The Beach,Taylor Swift Featuring Lana Del Rey
49,Jingle Bell Rock,Bobby Helms
50,Wait In The Truck,HARDY Featuring Lainey Wilson
51,Jumbotron Shit Poppin,Drake
52,Half Of Me,Thomas Rhett Featuring Riley Green
53,Fall In Love,Bailey Zimmerman
54,Shirt,SZA
55,Until I Found You,Stephen Sanchez
56,Rock And A Hard Place,Bailey Zimmerman
57,Treacherous Twins,Drake & 21 Savage
58,Hotel Lobby (Unc And Phew),Quavo & Takeoff
59,What My World Spins Around,Jordan Davis
60,Victoria’s Secret,Jax
61,Vigilante Shit,Taylor Swift
62,Son Of A Sinner,Jelly Roll
63,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
64,Question...?,Taylor Swift
65,Don't Come Lookin',Jackson Dean
66,Middle Of The Ocean,Drake
67,Romantic Homicide,d4vd
68,More M’s,Drake & 21 Savage
69,Mastermind,Taylor Swift
70,Billie Eilish.,Armani White
71,Die For You,Joji
72,Labyrinth,Taylor Swift
73,Whiskey On You,Nate Smith
74,Free Mind,Tems
75,California Breeze,Lil Baby
76,Sweet Nothing,Taylor Swift
77,Heyy,Lil Baby
78,No Se Va,Grupo Frontera
79,"Would've, Could've, Should've",Taylor Swift
80,I Guess It's Fuck Me,Drake
81,Calm Down,Rema & Selena Gomez
82,All Mine,Brent Faiyaz
83,Freestyle,Lil Baby
84,Country On,Luke Bryan
85,Heart Like A Truck,Lainey Wilson
86,Miss You,Oliver Tree & Robin Schulz
87,Wishful Drinking,Ingrid Andress With Sam Hunt
88,Music For A Sushi Restaurant,Harry Styles
89,Pick Me Up,Gabby Barrett
90,Break My Heart,Rod Wave
91,La Bachata,Manuel Turizo
92,Forever,Lil Baby Featuring Fridayy
93,Last Last,Burna Boy
94,3AM On Glenwood,21 Savage
95,The Great War,Taylor Swift
96,Gotta Move On,Diddy & Bryson Tiller
97,Forget Me,Lewis Capaldi
98,"Going, Going, Gone",Luke Combs
99,Bigger Than The Whole Sky,Taylor Swift
